state,year,total_rev,local_rev,state_rev,fed_rev
Alabama,1995,9400,2448,6033,918
Alabama,1996,9062,2401,5759,902
Alabama,1997,10464,2909,6567,989
Alabama,1998,10631,3021,6650,961
Alabama,1999,11178,3314,6881,983
Alabama,2000,11822,3523,7268,1031
Alabama,2001,11260,3465,6709,1086
Alabama,2002,11656,3657,6843,1156
Alabama,2003,11472,3668,6550,1253
Alabama,2004,11340,3724,6292,1325
Alabama,2005,11880,3987,6550,1343
Alabama,2006,11959,3934,6653,1372
Alabama,2007,12625,4124,7270,1231
Alabama,2008,13122,4018,7896,1208
Alabama,2009,11902,3803,6892,1207
Alabama,2010,11871,3826,6196,1849
Alabama,2011,11839,3746,6364,1729
Alabama,2012,11051,3714,6114,1223
Alabama,2013,10858,3762,5872,1223
Alabama,2014,10853,3741,5945,1166
Alabama,2015,,,,
Alabama,2016,11023,3846,6012,1165
Alabama,2017,11284,3922,6205,1157
Alaska,1995,18087,4598,11497,1992
Alaska,1996,17594,4565,11089,1940
Alaska,1997,17118,4446,10470,2201
Alaska,1998,17528,4404,10838,2286
Alaska,1999,17171,4363,10223,2585
Alaska,2000,17472,4520,10298,2654
Alaska,2001,17047,4671,9427,2949
Alaska,2002,17101,4408,9600,3093
Alaska,2003,17191,4258,9806,3128
Alaska,2004,17156,4424,9406,3327
Alaska,2005,17752,4640,9751,3361
Alaska,2006,17081,4376,9659,3046
Alaska,2007,18080,4679,10567,2834
Alaska,2008,21140,4500,13710,2931
Alaska,2009,20473,4633,12875,2965
Alaska,2010,20684,4699,12582,3403
Alaska,2011,21148,4678,12702,3769
Alaska,2012,20950,4601,13255,3094
Alaska,2013,21709,4407,14564,2737
Alaska,2014,21292,4415,14298,2579
Alaska,2015,24123,4528,16752,2844
Alaska,2016,20296,4667,13128,2500
Alaska,2017,20050,4433,12813,2804
Arizona,1995,10541,4889,4612,1040
Arizona,1996,10737,5095,4660,982
Arizona,1997,10742,5022,4718,1002
Arizona,1998,11160,5154,4870,1136
Arizona,1999,11425,5130,5200,1095
Arizona,2000,11881,5342,5380,1159
Arizona,2001,11463,5036,5273,1154
Arizona,2002,11758,4971,5607,1180
Arizona,2003,11830,4933,5560,1337
Arizona,2004,12131,4971,5742,1419
Arizona,2005,11924,4939,5583,1402
Arizona,2006,11787,4763,5638,1387
Arizona,2007,11810,4517,6019,1274
Arizona,2008,11701,4499,5977,1224
Arizona,2009,10970,4556,5142,1272
Arizona,2010,11088,4727,4323,2038
Arizona,2011,10401,4644,4245,1512
